,RI_1901-74,RI_2000-14,mean_abs_dif
temperature,29.1 [9.4-61.2],34.2 [8.2-76.3],11.4 [2.3-45.7]
precipitation,8.8 [1.1-48.8],5.1 [0.5-25.2],5 [2.3-45.7]
primaryForest,5.2 [0.2-60],2 [0.2-17.9],2.8 [2.3-45.7]
primaryNonF,1.4 [0-12.1],1.1 [0-16],1.1 [2.3-45.7]
secondaryForest,1.6 [0.1-18.1],2.3 [0-19.4],1.4 [2.3-45.7]
secondaryNonF,1.5 [0-27],1 [0-10.1],1.6 [2.3-45.7]
croplands,4.2 [1.1-23],4.8 [0.7-14.3],3.7 [2.3-45.7]
pastures,10.9 [1.3-31.9],17.7 [3.3-44.8],8.4 [2.3-45.7]
population,8.3 [0.9-56.4],10 [2.3-45.7],5 [2.3-45.7]
