,t0,SSP1,SSP3,SSP5
B. alpinus,0.74,0.38 [0.18-0.6],0.11 [0.04-0.19],0.08 [0.03-0.2]
B. argillaceus,1.09,0.5 [0.45-0.57],0.53 [0.46-0.63],0.52 [0.48-0.6]
B. balteatus,0.94,0.55 [0.45-0.64],0.37 [0.22-0.48],0.31 [0.23-0.47]
B. barbutellus,0.8,0.61 [0.52-0.73],0.56 [0.33-0.77],0.3 [0.15-0.64]
B. bohemicus,1.38,0.68 [0.59-0.84],0.65 [0.46-0.85],0.45 [0.33-0.71]
B. campestris,1.14,0.81 [0.71-0.94],0.59 [0.4-0.78],0.4 [0.26-0.69]
B. cingulatus,0.51,0.51 [0.42-0.56],0.59 [0.35-0.71],0.27 [0.01-0.51]
B. confusus,0.19,1.18 [0.95-1.41],1.1 [0.56-1.68],0.41 [0.05-1.23]
B. consobrinus,0.42,0.79 [0.7-0.94],0.52 [0.32-0.82],0.4 [0.13-0.8]
B. cryptarum,2.41,0.32 [0.26-0.45],0.25 [0.21-0.3],0.26 [0.24-0.31]
B. distinguendus,0.13,0.35 [0.23-0.51],0.05 [0-0.13],0.02 [0-0.07]
B. flavidus,0.62,0.38 [0.16-0.52],0.17 [0.03-0.32],0.08 [0.01-0.25]
B. gerstaeckeri,1.11,0.96 [0.8-1.26],0.86 [0.64-1.14],0.58 [0.36-0.8]
B. hortorum,1.1,0.93 [0.88-0.99],0.87 [0.72-0.96],0.69 [0.54-0.9]
B. humilis,0.62,0.79 [0.72-0.91],0.69 [0.46-0.87],0.45 [0.26-0.77]
B. hypnorum,1.22,0.96 [0.88-1.08],0.73 [0.57-0.9],0.55 [0.45-0.76]
B. jonellus,1.08,0.83 [0.81-0.89],0.73 [0.68-0.79],0.68 [0.6-0.8]
B. lapidarius,0.99,0.94 [0.89-1],0.85 [0.67-0.96],0.65 [0.45-0.89]
B. lapponicus,0.62,0.45 [0.16-0.71],0.19 [0.04-0.35],0.1 [0.01-0.31]
B. lucorum,0.96,0.9 [0.83-1],0.77 [0.59-0.96],0.58 [0.45-0.85]
B. magnus,1.09,0.71 [0.64-0.76],0.76 [0.71-0.84],0.97 [0.92-1.04]
B. mendax,0.58,0.66 [0.62-0.73],0.75 [0.65-0.83],0.7 [0.62-0.83]
B. mesomelas,0.41,0.96 [0.86-1.1],0.72 [0.63-0.81],0.64 [0.53-0.76]
B. monticola,1.28,0.56 [0.39-0.7],0.4 [0.29-0.55],0.34 [0.23-0.55]
B. mucidus,0.88,0.66 [0.61-0.72],0.65 [0.59-0.72],0.61 [0.52-0.8]
B. muscorum,0.41,1.04 [1-1.08],0.87 [0.7-0.99],0.77 [0.68-0.93]
B. norvegicus,3.52,1.05 [0.94-1.18],0.89 [0.83-0.99],0.83 [0.81-0.84]
B. pascuorum,1.2,1 [0.97-1.03],0.99 [0.98-1.01],0.95 [0.92-0.98]
B. polaris,0.57,0.32 [0.07-0.52],0.07 [0-0.18],0.04 [0-0.13]
B. pomorum,0.25,0.12 [0.05-0.19],0.16 [0.03-0.44],0.06 [0.01-0.19]
B. pratorum,1.1,0.96 [0.91-1.01],0.89 [0.75-0.98],0.71 [0.55-0.93]
B. pyrenaeus,1.22,0.52 [0.41-0.67],0.44 [0.3-0.6],0.28 [0.17-0.42]
B. quadricolor,0.49,0.3 [0.25-0.4],0.19 [0.1-0.3],0.11 [0.03-0.25]
B. ruderarius,0.75,0.84 [0.75-0.99],0.6 [0.36-0.86],0.34 [0.18-0.71]
B. ruderatus,0.44,1.13 [0.93-1.26],1.47 [1.07-2],2.16 [1.35-2.47]
B. rupestris,1.27,0.8 [0.69-0.97],0.56 [0.3-0.84],0.29 [0.14-0.62]
B. sichelii,0.67,0.71 [0.67-0.74],0.56 [0.48-0.63],0.6 [0.51-0.68]
B. soroeensis,0.95,0.88 [0.76-1],0.8 [0.68-0.89],0.7 [0.62-0.81]
B. sporadicus,0.84,0.92 [0.78-1],0.67 [0.43-0.9],0.37 [0.07-0.76]
B. subterraneus,0.5,0.63 [0.54-0.76],0.4 [0.24-0.63],0.21 [0.08-0.47]
B. sylvarum,0.92,0.99 [0.94-1.07],0.87 [0.68-1.02],0.6 [0.47-0.84]
B. sylvestris,2,1.04 [0.93-1.15],0.89 [0.66-1.04],0.72 [0.49-0.95]
B. terrestris,1.14,1.04 [1.02-1.06],1.09 [1.07-1.11],1.13 [1.08-1.19]
B. vestalis,1.19,0.54 [0.52-0.56],0.68 [0.55-0.77],0.63 [0.53-0.78]
B. veteranus,0.68,0.68 [0.62-0.85],0.29 [0.2-0.41],0.19 [0.16-0.26]
B. wurflenii,0.81,1.01 [0.8-1.32],0.93 [0.64-1.26],0.76 [0.47-1.1]
